Producto,Keywords,Precio_Unitario_Neto,Tiempo_Produccion
Taza sublimada,"taza,tazas,tazon,mug",2500,3-5 dias habiles
Lapiz sublimado,"lapiz,lapices,lapicera,lapiceras",350,3-5 dias habiles
Pendrive personalizado,"pendrive,pendrives,usb",4500,5-7 dias habiles
Mochila corporativa,"mochila,mochilas",6900,7-10 dias habiles
Bolsa ecologica,"bolsa,bolsas,tula,tulas",1200,3-5 dias habiles
Lanyard / credencial,"lanyard,lanyards,credencial,credenciales,colgante",900,5-7 dias habiles
Gorro / jockey bordado,"gorro,gorros,jockey,jockeys",3200,7-10 dias habiles
Termo / botella,"termo,termos,botella,botellas",5500,5-7 dias habiles
Chapita / pin,"chapita,chapitas,pin,pins,piocha",450,3-5 dias habiles
Cojin sublimado,"cojin,cojines",5900,5-7 dias habiles
Estuche / funda DTF textil,"estuche,estuches,funda,fundas",3800,7-10 dias habiles
Adhesivo troquelado,"adhesivo,adhesivos,sticker,stickers,calcomania",120,3-5 dias habiles
